dates,Open,High,low,close
1977-12-27,881,881,467,508
1977-12-28,145,322,145,164
1977-12-29,441,441,441,441
1977-12-30,836,836,362,657
1977-12-31,826,826,596,735
1978-01-01,787,787,787,787
1978-01-02,130,653,130,416
1978-01-03,904,904,95,288
1978-01-04,315,315,221,276
1978-01-05,695,890,103,543
1978-01-06,427,914,427,431
1978-01-07,539,868,290,518
1978-01-08,533,533,533,533
1978-01-09,685,779,685,695
1978-01-10,780,882,320,490
1978-01-11,317,378,317,342
1978-01-12,618,618,305,416
1978-01-13,570,596,570,593
1978-01-14,127,127,127,127
1978-01-15,822,876,696,860
1978-01-16,25,660,25,46
1978-01-17,222,222,222,222
1978-01-18,436,829,436,715
1978-01-19,526,567,185,421
1978-01-20,667,667,116,475
1978-01-21,708,708,369,541
1978-01-22,598,800,598,773
1978-01-23,503,503,503,503
1978-01-24,16,319,16,183
1978-01-25,781,781,781,781
1978-01-26,981,981,978,979
1978-01-27,351,587,351,567
1978-01-28,465,589,126,573
1978-01-29,373,488,31,247
1978-01-30,7,369,7,27
1978-01-31,187,383,11,37
1978-02-01,55,200,55,102
1978-02-02,535,535,428,516
1978-02-03,205,205,205,205
1978-02-04,786,786,472,478
1978-02-05,782,782,782,782
1978-02-06,846,846,648,702
1978-02-07,499,872,499,761
1978-02-08,647,903,614,682
1978-02-09,797,797,493,675
1978-02-10,507,989,193,319
1978-02-11,994,994,415,911
1978-02-12,931,931,579,744
1978-02-13,181,910,181,431
1978-02-14,786,786,786,786
1978-02-15,574,574,574,574
1978-02-16,417,417,417,417
1978-02-17,879,879,134,563
1978-02-18,99,646,99,216
1978-02-19,678,678,678,678
1978-02-20,681,681,198,628
1978-02-21,874,874,780,868
1978-02-22,116,564,116,235
1978-02-23,846,846,463,806
1978-02-24,653,653,587,617
1978-02-25,534,902,534,877
1978-02-26,489,489,467,487
1978-02-27,333,333,333,333
1978-02-28,602,602,602,602
1978-03-01,272,272,163,207
1978-03-02,794,794,794,794
1978-03-03,723,913,648,807
1978-03-04,812,812,587,769
1978-03-05,694,694,694,694
1978-03-06,0,19,0,16
1978-03-07,645,645,645,645
1978-03-08,836,836,234,477
1978-03-09,43,741,43,521
1978-03-10,393,593,393,429
1978-03-11,699,699,699,699
1978-03-12,383,383,383,383
1978-03-13,404,625,205,453
1978-03-14,448,448,177,329
1978-03-15,413,541,167,215
1978-03-16,52,578,52,396
1978-03-17,202,745,202,359
1978-03-18,735,735,735,735
1978-03-19,149,428,149,295
1978-03-20,693,693,657,687
1978-03-21,492,492,321,449
1978-03-22,527,527,511,519
1978-03-23,721,735,721,722
1978-03-24,323,999,323,909
1978-03-25,852,852,693,817
1978-03-26,114,667,114,309
1978-03-27,710,710,403,658
1978-03-28,161,580,161,349
1978-03-29,614,614,317,608
1978-03-30,496,813,260,345
1978-03-31,1,673,1,662
1978-04-01,665,665,665,665
1978-04-02,167,762,167,169
1978-04-03,819,819,619,787
1978-04-04,407,949,211,483
1978-04-05,968,968,903,935
1978-04-06,521,833,521,570
1978-04-07,223,417,223,347
1978-04-08,541,541,117,322
1978-04-09,516,516,237,239
1978-04-10,538,960,378,847
1978-04-11,911,911,869,888
1978-04-12,902,902,140,778
1978-04-13,27,684,27,106
1978-04-14,168,371,168,350
1978-04-15,200,973,200,343
1978-04-16,469,810,421,785
1978-04-17,828,828,486,653
1978-04-18,774,832,563,574
1978-04-19,17,706,17,89
1978-04-20,156,156,156,156
1978-04-21,579,579,211,487
1978-04-22,591,591,548,567
1978-04-23,188,685,91,191
1978-04-24,924,948,819,936
1978-04-25,364,961,41,355
1978-04-26,276,276,92,237
1978-04-27,116,374,116,279
1978-04-28,609,609,548,575
1978-04-29,510,510,92,312
1978-04-30,150,319,150,242
1978-05-01,533,596,436,529
1978-05-02,663,663,663,663
1978-05-03,829,829,829,829
1978-05-04,79,720,79,524
1978-05-05,233,233,233,233
1978-05-06,499,499,284,406
1978-05-07,772,772,772,772
1978-05-08,222,222,222,222
1978-05-09,245,270,245,264
1978-05-10,440,440,440,440
1978-05-11,560,707,560,702
1978-05-12,43,43,43,43
1978-05-13,76,785,76,722
1978-05-14,86,86,86,86
1978-05-15,192,866,192,547
1978-05-16,817,817,328,663
1978-05-17,491,808,491,517
1978-05-18,541,977,480,962
1978-05-19,267,499,267,369
1978-05-20,931,931,268,623
1978-05-21,363,363,22,261
1978-05-22,979,979,198,663
1978-05-23,522,522,397,398
1978-05-24,618,618,583,614
1978-05-25,784,784,784,784
1978-05-26,293,630,293,628
1978-05-27,476,587,60,87
1978-05-28,51,281,51,161
1978-05-29,10,728,10,296
1978-05-30,212,899,212,608
1978-05-31,879,879,97,261
1978-06-01,735,916,383,770
1978-06-02,16,796,16,47
1978-06-03,254,445,254,411
1978-06-04,759,851,563,645
1978-06-05,263,263,263,263
1978-06-06,633,759,633,736
1978-06-07,608,608,608,608
1978-06-08,54,176,54,112
1978-06-09,261,825,261,455
1978-06-10,340,340,340,340
1978-06-11,106,431,106,197
1978-06-12,701,926,701,703
1978-06-13,533,533,105,247
1978-06-14,681,681,543,671
1978-06-15,342,739,234,681
1978-06-16,140,592,139,487
1978-06-17,0,346,0,187
1978-06-18,681,681,443,591
1978-06-19,272,777,272,348
1978-06-20,217,217,217,217
1978-06-21,852,852,121,529
1978-06-22,147,940,147,161
1978-06-23,351,438,351,374
1978-06-24,376,786,376,440
1978-06-25,322,536,18,57
1978-06-26,905,905,781,855
1978-06-27,684,684,103,292
1978-06-28,396,843,396,616
1978-06-29,319,461,319,320
1978-06-30,496,858,117,147
1978-07-01,364,751,91,205
1978-07-02,218,650,218,412
1978-07-03,936,936,840,909
1978-07-04,602,961,409,827
1978-07-05,320,320,45,95
1978-07-06,356,905,356,393
1978-07-07,150,196,150,174
1978-07-08,762,762,762,762
1978-07-09,847,847,784,844
1978-07-10,859,931,859,876
1978-07-11,272,902,272,764
1978-07-12,824,824,824,824
1978-07-13,870,870,670,783
1978-07-14,390,894,166,346
1978-07-15,131,623,131,564
1978-07-16,695,695,695,695
1978-07-17,788,788,473,536
1978-07-18,727,944,391,795
1978-07-19,350,350,350,350
1978-07-20,272,696,272,402
1978-07-21,162,337,162,247
1978-07-22,906,906,189,249
1978-07-23,397,699,118,211
1978-07-24,924,924,40,102
1978-07-25,925,925,350,815
1978-07-26,298,298,123,252
1978-07-27,838,838,97,340
1978-07-28,948,948,29,912
1978-07-29,164,418,164,369
1978-07-30,302,650,302,401
1978-07-31,270,270,270,270
1978-08-01,564,799,339,500
1978-08-02,569,635,418,608
1978-08-03,505,505,280,421
1978-08-04,578,987,420,779
1978-08-05,504,504,504,504
1978-08-06,259,559,259,550
1978-08-07,421,421,183,263
1978-08-08,504,504,504,504
1978-08-09,582,582,582,582
1978-08-10,897,897,652,816
1978-08-11,496,612,496,609
1978-08-12,793,793,793,793
1978-08-13,361,361,361,361
1978-08-14,188,188,188,188
1978-08-15,149,656,149,149
1978-08-16,73,671,73,419
1978-08-17,915,915,747,874
1978-08-18,735,973,106,776
1978-08-19,341,652,341,623
1978-08-20,399,800,230,262
1978-08-21,669,739,334,356
1978-08-22,718,718,133,319
1978-08-23,740,740,263,279
1978-08-24,425,869,425,715
1978-08-25,952,989,483,585
1978-08-26,136,288,136,173
1978-08-27,662,662,357,553
1978-08-28,745,745,643,699
1978-08-29,784,784,402,765
1978-08-30,234,234,234,234
1978-08-31,731,731,103,250
1978-09-01,343,397,343,380
1978-09-02,469,469,85,394
1978-09-03,96,316,96,209
1978-09-04,890,890,846,871
1978-09-05,202,870,178,220
1978-09-06,820,875,791,867
1978-09-07,298,482,298,312
1978-09-08,198,338,198,330
1978-09-09,113,886,113,577
1978-09-10,301,655,301,309
1978-09-11,334,980,334,950
1978-09-12,972,972,340,425
1978-09-13,601,798,601,659
1978-09-14,593,593,559,573
1978-09-15,571,571,571,571
1978-09-16,820,820,620,780
1978-09-17,689,689,689,689
1978-09-18,435,560,435,460
1978-09-19,319,966,210,696
1978-09-20,488,961,344,893
1978-09-21,992,992,313,378
1978-09-22,165,165,165,165
1978-09-23,892,892,551,590
1978-09-24,820,820,820,820
1978-09-25,888,888,56,174
1978-09-26,580,602,13,51
1978-09-27,766,766,711,758
1978-09-28,812,812,812,812
1978-09-29,41,872,41,713
1978-09-30,174,497,174,253
1978-10-01,915,915,213,279
1978-10-02,951,951,714,790
1978-10-03,399,504,188,493
1978-10-04,276,893,276,883
1978-10-05,228,368,228,350
1978-10-06,366,616,366,387
1978-10-07,779,779,225,235
1978-10-08,100,813,100,522
1978-10-09,581,581,232,483
1978-10-10,798,798,180,617
1978-10-11,959,959,47,934
1978-10-12,383,383,180,377
1978-10-13,97,371,73,309
1978-10-14,589,589,289,355
1978-10-15,822,822,104,627
1978-10-16,408,583,408,482
1978-10-17,444,969,93,186
1978-10-18,562,582,562,573
1978-10-19,801,801,197,226
1978-10-20,659,857,301,621
1978-10-21,458,458,458,458
1978-10-22,934,934,819,873
1978-10-23,569,569,407,543
1978-10-24,854,854,49,752
1978-10-25,961,961,813,814
1978-10-26,159,416,159,275
1978-10-27,530,530,530,530
1978-10-28,700,929,700,750
1978-10-29,199,947,199,707
1978-10-30,920,920,920,920
1978-10-31,227,524,227,365
1978-11-01,908,908,867,871
1978-11-02,189,585,189,284
1978-11-03,929,929,304,892
1978-11-04,303,351,303,330
1978-11-05,417,417,189,192
1978-11-06,608,608,608,608
1978-11-07,380,380,380,380
1978-11-08,423,934,30,523
1978-11-09,507,507,507,507
1978-11-10,255,933,167,514
1978-11-11,331,331,74,151
1978-11-12,472,472,472,472
1978-11-13,557,790,83,412
1978-11-14,958,958,238,410
1978-11-15,342,534,342,439
1978-11-16,520,879,150,262
1978-11-17,95,116,53,67
1978-11-18,939,940,305,693
1978-11-19,655,655,655,655
1978-11-20,163,214,163,209
1978-11-21,618,618,618,618
1978-11-22,75,268,75,113
1978-11-23,448,531,271,321
1978-11-24,118,207,118,184
1978-11-25,885,885,585,730
1978-11-26,466,466,191,436
1978-11-27,477,477,477,477
1978-11-28,642,642,396,574
1978-11-29,785,785,181,262
1978-11-30,80,601,80,513
1978-12-01,750,750,455,661
1978-12-02,706,706,706,706
1978-12-03,738,738,609,635
1978-12-04,880,880,146,739
1978-12-05,24,63,24,60
1978-12-06,856,890,64,279
1978-12-07,87,490,71,211
1978-12-08,332,945,332,909
1978-12-09,114,526,114,333
1978-12-10,129,129,129,129
1978-12-11,441,730,441,448
1978-12-12,537,537,200,385
1978-12-13,966,966,527,912
1978-12-14,718,819,428,534
1978-12-15,25,361,25,142
1978-12-16,425,425,425,425
1978-12-17,32,490,32,453
1978-12-18,265,546,211,488
1978-12-19,504,504,168,499
1978-12-20,466,615,158,458
1978-12-21,436,436,309,430
1978-12-22,815,815,815,815
1978-12-23,931,931,457,561
1978-12-24,506,506,458,485
1978-12-25,54,569,54,490
1978-12-26,44,309,44,219
1978-12-27,512,512,512,512
1978-12-28,23,295,23,139
1978-12-29,558,722,558,622
1978-12-30,450,851,105,373
1978-12-31,226,921,165,292
1979-01-01,735,735,449,585
1979-01-02,97,725,97,679
1979-01-03,713,713,713,713
1979-01-04,361,361,361,361
1979-01-05,287,341,287,293
1979-01-06,466,466,466,466
1979-01-07,820,820,820,820
1979-01-08,819,819,819,819
1979-01-09,790,920,742,874
1979-01-10,515,515,515,515
1979-01-11,406,406,299,405
1979-01-12,752,752,587,658
1979-01-13,580,580,270,290
1979-01-14,431,664,431,534
1979-01-15,781,781,705,718
1979-01-16,684,684,622,657
1979-01-17,205,377,160,269
1979-01-18,0,954,0,137
1979-01-19,86,160,86,123
1979-01-20,10,315,10,51
1979-01-21,279,279,124,278
1979-01-22,463,463,353,379
1979-01-23,571,774,571,759
1979-01-24,871,871,676,817
1979-01-25,329,329,329,329
1979-01-26,39,786,39,107
1979-01-27,457,886,78,404
1979-01-28,353,496,353,365
1979-01-29,303,342,303,335
1979-01-30,424,424,424,424
1979-01-31,616,959,317,771
1979-02-01,479,575,479,544
1979-02-02,259,613,259,375
1979-02-03,361,857,118,849
1979-02-04,113,193,113,144
1979-02-05,884,884,788,863
1979-02-06,427,427,427,427
1979-02-07,854,854,66,424
1979-02-08,970,970,766,817
1979-02-09,226,226,160,176
1979-02-10,175,817,175,292
1979-02-11,903,903,408,584
1979-02-12,120,304,120,294
1979-02-13,665,665,325,618
1979-02-14,8,350,8,62
1979-02-15,938,938,701,904
1979-02-16,650,934,388,446
1979-02-17,73,246,50,62
1979-02-18,225,597,225,242
1979-02-19,969,969,474,694
1979-02-20,274,274,274,274
1979-02-21,437,841,65,793
1979-02-22,636,636,306,555
1979-02-23,543,543,543,543
1979-02-24,417,417,417,417
1979-02-25,770,949,770,849
1979-02-26,715,811,156,764
1979-02-27,731,731,482,628
1979-02-28,418,686,418,632
1979-03-01,835,835,291,709
1979-03-02,644,962,644,724
1979-03-03,886,886,2,782
1979-03-04,846,846,574,721
1979-03-05,492,492,417,432
1979-03-06,379,794,379,403
1979-03-07,535,966,251,816
1979-03-08,233,233,233,233
1979-03-09,971,971,526,789
1979-03-10,270,270,270,270
1979-03-11,983,983,607,617
1979-03-12,103,511,103,355
1979-03-13,120,935,120,540
1979-03-14,724,724,724,724
1979-03-15,795,991,312,725
1979-03-16,382,382,116,242
1979-03-17,462,696,251,397
1979-03-18,891,891,716,832
1979-03-19,243,243,243,243
1979-03-20,399,944,399,905
1979-03-21,896,896,318,337
1979-03-22,715,933,715,718
1979-03-23,538,538,242,280
1979-03-24,564,855,164,561
1979-03-25,741,741,341,344
1979-03-26,246,860,246,640
1979-03-27,524,524,502,522
1979-03-28,121,317,121,222
1979-03-29,391,448,5,91
1979-03-30,925,925,438,895
1979-03-31,832,971,541,900
1979-04-01,219,852,44,236
1979-04-02,431,431,431,431
1979-04-03,333,609,73,346
1979-04-04,649,649,184,190
1979-04-05,734,734,732,733
1979-04-06,783,783,486,567
1979-04-07,965,965,488,542
1979-04-08,709,709,709,709
1979-04-09,584,584,479,575
1979-04-10,391,391,284,323
1979-04-11,436,698,86,302
1979-04-12,980,980,440,959
1979-04-13,639,698,362,461
1979-04-14,488,526,363,505
1979-04-15,75,785,75,775
1979-04-16,402,402,402,402
1979-04-17,972,972,663,683
1979-04-18,679,754,286,640
1979-04-19,153,170,153,163
1979-04-20,395,395,192,355
1979-04-21,625,625,135,191
1979-04-22,49,995,49,601
1979-04-23,155,634,155,577
1979-04-24,143,143,143,143
1979-04-25,223,280,209,215
1979-04-26,301,301,301,301
1979-04-27,803,803,739,747
1979-04-28,421,935,113,478
1979-04-29,654,654,149,555
1979-04-30,8,38,8,36
1979-05-01,130,872,130,839
1979-05-02,564,633,151,498
1979-05-03,644,644,179,609
1979-05-04,725,993,288,582
1979-05-05,514,717,41,67
1979-05-06,617,617,147,243
1979-05-07,324,929,110,415
1979-05-08,530,530,530,530
1979-05-09,708,708,417,486
1979-05-10,505,505,505,505
1979-05-11,524,524,156,395
1979-05-12,573,616,37,175
1979-05-13,751,751,100,413
1979-05-14,765,765,765,765
1979-05-15,931,931,931,931
1979-05-16,511,511,365,424
1979-05-17,271,271,258,261
1979-05-18,573,755,573,608
1979-05-19,943,943,742,928
1979-05-20,885,885,718,863
1979-05-21,364,865,364,535
1979-05-22,916,916,311,869
1979-05-23,111,195,111,127
1979-05-24,364,426,246,317
1979-05-25,935,935,920,922
1979-05-26,418,515,418,515
1979-05-27,323,642,150,605
1979-05-28,700,700,700,700
1979-05-29,87,587,87,461
1979-05-30,240,240,240,240
1979-05-31,336,336,336,336
1979-06-01,14,120,14,92
1979-06-02,118,547,118,291
1979-06-03,204,909,204,721
1979-06-04,626,842,102,234
1979-06-05,5,29,5,12
1979-06-06,334,699,271,354
1979-06-07,411,910,411,784
1979-06-08,178,383,178,302
1979-06-09,493,912,493,507
1979-06-10,198,647,198,517
1979-06-11,99,798,99,667
1979-06-12,579,579,84,567
1979-06-13,131,949,131,942
1979-06-14,713,832,195,763
1979-06-15,818,818,361,674
1979-06-16,859,859,530,580
1979-06-17,202,541,170,341
1979-06-18,119,142,119,123
1979-06-19,938,938,266,506
1979-06-20,607,607,594,606
1979-06-21,600,600,99,419
1979-06-22,739,739,739,739
1979-06-23,704,704,704,704
1979-06-24,68,331,35,282
1979-06-25,894,894,9,195
1979-06-26,983,983,943,971
1979-06-27,750,750,286,418
1979-06-28,541,665,412,493
1979-06-29,995,995,80,722
1979-06-30,683,925,499,888
1979-07-01,221,221,221,221
1979-07-02,442,444,386,438
1979-07-03,540,817,540,710
1979-07-04,713,989,499,880
1979-07-05,187,871,187,804
1979-07-06,393,841,393,576
1979-07-07,33,982,33,923
1979-07-08,22,297,22,226
1979-07-09,180,578,59,352
1979-07-10,168,814,154,534
1979-07-11,137,773,137,177
1979-07-12,640,682,68,314
1979-07-13,515,515,515,515
1979-07-14,172,214,40,204
1979-07-15,118,184,118,139
1979-07-16,562,774,524,615
1979-07-17,111,977,111,761
1979-07-18,350,350,350,350
1979-07-19,630,630,257,619
1979-07-20,501,501,294,456
1979-07-21,394,877,394,733
1979-07-22,251,640,251,423
1979-07-23,437,858,204,769
1979-07-24,668,668,608,633
1979-07-25,117,252,117,201
1979-07-26,895,895,684,892
1979-07-27,81,975,81,654
1979-07-28,470,470,300,310
1979-07-29,984,984,498,909
1979-07-30,317,833,317,733
1979-07-31,772,772,327,705
1979-08-01,467,467,431,466
1979-08-02,286,286,286,286
1979-08-03,654,654,342,389
1979-08-04,955,955,197,591
1979-08-05,29,186,29,39
1979-08-06,118,118,6,10
1979-08-07,346,825,65,503
1979-08-08,738,738,68,145
1979-08-09,382,945,382,642
1979-08-10,934,934,228,324
1979-08-11,899,955,733,812
1979-08-12,36,510,36,236
1979-08-13,182,182,182,182
1979-08-14,454,965,416,600
1979-08-15,896,896,112,445
1979-08-16,994,994,93,960
1979-08-17,401,402,401,402
1979-08-18,662,662,12,213
1979-08-19,518,518,518,518
1979-08-20,99,873,99,275
1979-08-21,313,980,313,971
1979-08-22,129,809,129,540
1979-08-23,981,981,748,774
1979-08-24,175,773,175,489
1979-08-25,93,718,38,438
1979-08-26,496,841,79,281
1979-08-27,513,893,459,581
1979-08-28,36,721,36,268
1979-08-29,628,628,628,628
1979-08-30,527,835,527,808
1979-08-31,166,504,166,170
1979-09-01,215,424,215,238
1979-09-02,212,212,212,212
1979-09-03,194,547,194,241
1979-09-04,178,178,178,178
1979-09-05,740,740,363,736
1979-09-06,485,485,135,202
1979-09-07,920,920,537,874
1979-09-08,591,775,357,763
1979-09-09,489,606,489,592
1979-09-10,245,863,244,598
1979-09-11,613,613,613,613
1979-09-12,92,109,92,99
1979-09-13,235,810,235,691
1979-09-14,305,668,76,248
1979-09-15,252,824,252,658
1979-09-16,181,490,62,488
1979-09-17,319,818,319,706
1979-09-18,682,866,682,800
1979-09-19,970,970,1,770
1979-09-20,251,251,251,251
1979-09-21,657,913,593,672
1979-09-22,151,832,90,586
1979-09-23,140,632,140,146
1979-09-24,474,834,474,643
1979-09-25,615,812,366,769
1979-09-26,277,538,269,379
1979-09-27,212,991,108,896
1979-09-28,936,936,379,417
1979-09-29,271,976,271,762
1979-09-30,117,117,117,117
1979-10-01,702,702,138,404
1979-10-02,144,726,144,277
1979-10-03,667,667,501,598
1979-10-04,842,887,842,853
1979-10-05,356,356,356,356
1979-10-06,273,777,273,412
1979-10-07,414,414,291,343
1979-10-08,11,193,11,190
1979-10-09,274,751,9,66
1979-10-10,698,698,698,698
1979-10-11,911,911,412,690
1979-10-12,568,568,568,568
1979-10-13,643,643,466,479
1979-10-14,599,599,177,224
1979-10-15,39,430,39,409
1979-10-16,123,689,123,419
1979-10-17,68,160,68,114
1979-10-18,236,657,236,585
1979-10-19,567,567,567,567
1979-10-20,825,825,825,825
1979-10-21,542,542,542,542
1979-10-22,923,994,280,321
1979-10-23,18,959,18,644
1979-10-24,668,668,457,579
1979-10-25,908,908,437,699
1979-10-26,299,640,106,600
1979-10-27,994,994,388,804
1979-10-28,64,243,64,238
1979-10-29,66,579,66,475
1979-10-30,813,813,196,484
1979-10-31,340,629,340,356
1979-11-01,698,988,698,897
1979-11-02,571,571,407,413
1979-11-03,773,973,525,719
1979-11-04,549,549,549,549
1979-11-05,675,675,533,566
1979-11-06,634,759,634,750
1979-11-07,694,862,232,513
1979-11-08,474,865,474,854
1979-11-09,705,871,705,771
1979-11-10,821,823,821,823
1979-11-11,428,963,347,864
1979-11-12,851,858,851,855
1979-11-13,717,729,290,376
1979-11-14,517,517,414,491
1979-11-15,425,425,425,425
1979-11-16,741,741,741,741
1979-11-17,406,440,406,436
1979-11-18,677,677,369,492
1979-11-19,802,802,516,731
1979-11-20,599,776,68,125
1979-11-21,161,706,161,266
1979-11-22,113,116,113,113
1979-11-23,216,994,216,538
1979-11-24,355,918,315,556
1979-11-25,241,802,163,753
1979-11-26,327,821,201,393
1979-11-27,915,915,794,877
1979-11-28,705,705,21,674
1979-11-29,625,959,12,660
1979-11-30,874,874,528,566
1979-12-01,420,420,420,420
1979-12-02,521,949,422,782
1979-12-03,863,863,215,523
1979-12-04,168,939,82,178
1979-12-05,548,676,133,357
1979-12-06,583,583,583,583
1979-12-07,187,899,187,187
1979-12-08,788,788,486,709
1979-12-09,89,645,89,452
1979-12-10,768,768,461,556
1979-12-11,427,427,427,427
1979-12-12,629,629,629,629
1979-12-13,39,682,39,330
1979-12-14,543,543,486,488
1979-12-15,934,935,620,922
1979-12-16,267,267,138,140
1979-12-17,650,650,366,568
1979-12-18,276,942,276,319
1979-12-19,780,780,34,79
1979-12-20,941,941,842,905
1979-12-21,844,844,642,747
1979-12-22,953,953,786,851
1979-12-23,281,281,268,275
1979-12-24,493,507,493,495
1979-12-25,18,45,18,34
1979-12-26,702,702,702,702
1979-12-27,709,709,90,441
1979-12-28,639,639,639,639
1979-12-29,844,844,508,839
1979-12-30,342,919,342,864
1979-12-31,139,611,61,125
1980-01-01,816,816,521,709
1980-01-02,990,990,581,726
1980-01-03,485,485,414,478
1980-01-04,553,553,553,553
1980-01-05,968,968,8,658
1980-01-06,172,950,172,653
1980-01-07,973,973,35,798
1980-01-08,941,941,442,907
1980-01-09,766,766,636,766
1980-01-10,36,111,36,48
1980-01-11,329,329,329,329
1980-01-12,422,907,201,434
1980-01-13,28,401,28,195
1980-01-14,240,351,130,172
1980-01-15,722,722,43,693
1980-01-16,903,903,903,903
1980-01-17,803,803,803,803
1980-01-18,877,877,45,499
1980-01-19,275,923,275,402
1980-01-20,461,984,461,908
1980-01-21,936,936,254,754
1980-01-22,470,968,242,391
1980-01-23,395,562,395,436
1980-01-24,966,984,18,930
1980-01-25,748,748,748,748
1980-01-26,473,473,473,473
1980-01-27,610,746,511,714
1980-01-28,92,323,92,219
1980-01-29,935,935,550,680
1980-01-30,869,869,94,252
1980-01-31,832,946,832,919
1980-02-01,109,109,109,109
1980-02-02,607,619,326,450
1980-02-03,963,963,433,532
1980-02-04,963,963,763,818
1980-02-05,747,747,732,740
1980-02-06,556,794,308,521
1980-02-07,782,782,90,551
1980-02-08,337,485,180,346
1980-02-09,410,410,150,307
1980-02-10,897,897,663,877
1980-02-11,432,432,54,158
1980-02-12,160,591,67,225
1980-02-13,99,541,99,416
1980-02-14,411,411,411,411
1980-02-15,513,513,498,506
1980-02-16,126,481,80,190
1980-02-17,195,689,195,448
1980-02-18,571,571,571,571
1980-02-19,380,380,380,380
1980-02-20,421,807,421,582
1980-02-21,91,149,91,92
1980-02-22,382,382,382,382
1980-02-23,230,868,230,516
1980-02-24,54,848,54,453
1980-02-25,55,451,55,422
1980-02-26,839,839,148,409
1980-02-27,948,948,257,562
1980-02-28,747,890,279,372
1980-02-29,25,460,25,143
1980-03-01,506,604,506,603
1980-03-02,84,896,35,682
1980-03-03,247,778,247,525
1980-03-04,887,887,348,836
1980-03-05,68,900,68,807
1980-03-06,162,162,19,147
1980-03-07,446,580,220,537
1980-03-08,251,780,183,310
1980-03-09,426,654,426,463
1980-03-10,105,700,105,164
1980-03-11,604,604,604,604
1980-03-12,942,942,942,942
1980-03-13,774,774,211,307
1980-03-14,50,560,50,168
1980-03-15,452,831,452,651
1980-03-16,347,581,347,487
1980-03-17,609,885,609,836
1980-03-18,668,668,315,381
1980-03-19,279,279,170,271
1980-03-20,597,597,597,597
1980-03-21,797,797,409,409
1980-03-22,559,559,287,428
1980-03-23,144,332,144,247
1980-03-24,995,995,103,819
1980-03-25,526,612,398,422
1980-03-26,628,831,628,667
1980-03-27,665,999,665,799
1980-03-28,358,612,247,254
1980-03-29,682,682,682,682
1980-03-30,683,683,683,683
1980-03-31,389,872,389,834
1980-04-01,188,285,188,196
1980-04-02,97,97,97,97
1980-04-03,571,571,571,571
1980-04-04,655,858,655,727
1980-04-05,879,879,177,202
1980-04-06,736,736,228,625
1980-04-07,610,610,513,597
1980-04-08,125,226,125,139
1980-04-09,210,814,210,273
1980-04-10,668,746,318,510
1980-04-11,486,486,486,486
1980-04-12,406,406,88,201
1980-04-13,997,997,249,982
1980-04-14,968,968,441,508
1980-04-15,232,730,232,582
1980-04-16,773,895,572,668
1980-04-17,208,311,208,308
1980-04-18,3,316,3,190
1980-04-19,529,529,187,199
1980-04-20,811,811,163,275
1980-04-21,467,899,467,657
1980-04-22,726,726,262,480
1980-04-23,693,693,190,483
1980-04-24,804,938,17,330
1980-04-25,607,607,237,530
1980-04-26,304,987,304,910
1980-04-27,10,825,10,241
1980-04-28,496,496,59,437
1980-04-29,340,946,340,348
1980-04-30,46,623,46,463
1980-05-01,274,717,145,643
1980-05-02,997,997,784,979
1980-05-03,540,540,535,537
1980-05-04,42,663,42,279
1980-05-05,656,656,400,591
1980-05-06,82,496,82,234
1980-05-07,438,438,438,438
1980-05-08,350,350,350,350
1980-05-09,167,832,167,824
1980-05-10,47,721,47,331
1980-05-11,903,903,675,868
1980-05-12,454,856,448,500
1980-05-13,829,852,294,490
1980-05-14,744,744,169,281
1980-05-15,649,649,615,625
1980-05-16,692,709,592,626
1980-05-17,901,901,308,773
1980-05-18,198,806,198,736
1980-05-19,577,577,352,471
1980-05-20,990,990,205,251
1980-05-21,838,911,267,453
1980-05-22,447,447,447,447
1980-05-23,442,663,138,583
1980-05-24,814,814,47,494
1980-05-25,428,428,428,428
1980-05-26,248,248,248,248
1980-05-27,929,929,461,599
1980-05-28,661,661,61,167
1980-05-29,988,988,783,883
1980-05-30,703,703,549,701
1980-05-31,518,518,518,518
1980-06-01,580,977,179,919
1980-06-02,111,705,111,229
1980-06-03,610,610,610,610
1980-06-04,912,912,236,410
1980-06-05,316,437,316,415
1980-06-06,390,390,390,390
1980-06-07,591,591,448,474
1980-06-08,660,660,446,474
1980-06-09,65,412,65,334
1980-06-10,143,534,101,197
1980-06-11,859,859,518,657
1980-06-12,264,612,264,467
1980-06-13,500,679,500,558
1980-06-14,620,780,266,612
1980-06-15,278,685,278,644
1980-06-16,768,768,475,575
1980-06-17,888,888,209,270
1980-06-18,482,641,293,385
1980-06-19,706,706,269,296
1980-06-20,832,832,583,790
1980-06-21,381,644,200,544
1980-06-22,984,984,527,933
1980-06-23,75,761,75,752
1980-06-24,197,197,135,139
1980-06-25,578,578,217,377
1980-06-26,172,714,172,531
1980-06-27,26,775,26,775
1980-06-28,479,479,88,332
1980-06-29,902,902,493,741
1980-06-30,947,947,763,922
1980-07-01,845,920,320,421
1980-07-02,104,964,104,153
1980-07-03,943,943,937,940
1980-07-04,822,822,618,645
1980-07-05,945,972,908,923
1980-07-06,919,919,638,770
1980-07-07,478,478,478,478
1980-07-08,701,701,411,544
1980-07-09,922,922,101,537
1980-07-10,74,311,74,84
1980-07-11,934,934,302,712
1980-07-12,297,709,297,517
1980-07-13,501,501,501,501
1980-07-14,662,662,275,275
1980-07-15,11,768,11,254
